Compound,X,Xprime,GroupCat,AtomicMassofB,AtomicMassofBprime,AtomicMassofA,AtomicMassofAprime,ARENofB,ARENofBprime,ARENofA,ARENofAprime,r_XIIofA,r_XIIofAprime,r_VIofBprime,r_VIofB,r_VIIofB,CrystalRadiusofA,CrystalRadiusofAprime,CrystalRadiusofBprime,CrystalRadiusofB,IonicRadiiofB,IonicRadiiofBprime,IonicRadiiofA,IonicRadiiofAprime,IonizationPotentialofB,IonizationPotentialofBprime,IonizationPotentialofA,IonizationPotentialofAprime,PaulingENofB,PaulingENofBprime,PaulingENofA,PaulingENofAprime,ZungerRadiiofB,ZungerRadiiofBprime,ZungerRadiiofA,ZungerRadiiofAprime,BoilingPtofA,BoilingPtofAprime,BoilingPtofB,BoilingPtofBprime,CoefficientofLinearThermalExpansionatSpecofA,CoefficientofLinearThermalExpansionatSpecofAprime,CoefficientofLinearThermalExpansionatSpecofB,CoefficientofLinearThermalExpansionatSpecofBprime,DensityatSpecofA,DensityatSpecofAprime,DensityatSpecofB,DensityatSpecofBprime,EnthalpyofFusionofA,EnthalpyofFusionofAprime,EnthalpyofFusionofB,EnthalpyofFusionofBprime,MeltingPtofA,MeltingPtofAprime,MeltingPtofB,MeltingPtofBprime,SpecificHeatCapacityofA,SpecificHeatCapacityofAprime,SpecificHeatCapacityofB,SpecificHeatCapacityofBprime,ThermalHeatConductivityofA,ThermalHeatConductivityofAprime,ThermalHeatConductivityofB,ThermalHeatConductivityofBprime,rA,rB,ToleranceBVP,Vc
B2BaZrO6,O,O,12,137.327,91.224,10.811,10.811,0.97,1.22,2.01,2.01,0.674,0.674,0.868,1.481,1.539,0.41,0.41,0.86,1.49,1.35,0.72,-300,-300,5.2117,6.6339,8.29803,8.29803,0.89,1.33,2.04,2.04,1.515,1.265,0.48,0.48,-300,-300,1897,4409,-300,-300,20.6,5.7,-300,-300,3.62,6.52,-300,-300,51.8,230.2,-300,-300,727,1854,-300,-300,0.205,0.278,-300,-300,0.184,0.227,0.674,1.1745,0.558687010172135,31.191147617683
B2CaSnO6,O,O,13,40.078,118.71,10.811,10.811,1.04,1.72,2.01,2.01,0.674,0.674,0.845,1.163,1.221,0.41,0.41,0.83,1.14,1,0.69,-300,-300,6.11316,7.3439,8.29803,8.29803,1,1.96,2.04,2.04,1.32,0.88,0.48,0.48,-300,-300,1484,2602,-300,-300,22.3,22,-300,-300,1.54,7.26,-300,-300,213.1,60.4,-300,-300,842,231.93,-300,-300,0.646,0.227,-300,-300,2,0.666,0.674,1.004,0.601711461497496,33.68593669749
B2CsNbO6,O,O,12,132.90545,92.90638,10.811,10.811,0.8,1.23,2.01,2.01,0.674,0.674,0.768,1.87,1.927,0.41,0.41,0.78,1.81,1.67,0.64,-300,-300,3.8939,6.75885,8.29803,8.29803,0.79,1.6,2.04,2.04,1.71,1.23,0.48,0.48,-300,-300,671,4744,-300,-300,97,7.3,-300,-300,1.93,8.57,-300,-300,15.7,323,-300,-300,28.44,2477,-300,-300,0.242,0.265,-300,-300,0.359,0.537,0.674,1.319,0.526765194051188,18.2901572283242
B2CsTaO6,O,O,12,132.90545,180.9479,10.811,10.811,0.8,1.33,2.01,2.01,0.674,0.674,0.777,1.87,1.927,0.41,0.41,0.78,1.81,1.67,0.64,-300,-300,3.8939,7.5496,8.29803,8.29803,0.79,1.5,2.04,2.04,1.71,1.28,0.48,0.48,-300,-300,671,5458,-300,-300,97,6.3,-300,-300,1.93,16.4,-300,-300,15.7,202.1,-300,-300,28.44,3007,-300,-300,0.242,0.14,-300,-300,0.359,0.575,0.674,1.3235,0.525829554274899,18.260636411954
B2KNbO6,O,O,13,39.0983,39.0983,10.811,10.811,0.91,0.91,2.01,2.01,0.674,0.674,-300,1.585,1.642,0.41,0.41,-300,1.52,1.38,-300,-300,-300,4.34066,4.34066,8.29803,8.29803,0.82,0.82,2.04,2.04,1.54,1.54,0.48,0.48,-300,-300,759,759,-300,-300,83.3,83.3,-300,-300,0.89,0.89,-300,-300,59.6,59.6,-300,-300,63.38,63.38,-300,-300,0.757,0.757,-300,-300,1.024,1.024,0.674,-149.2075,-300,-0.344548517282598
B2KSbO6,O,O,12,39.0983,39.0983,10.811,10.811,0.91,0.91,2.01,2.01,0.674,0.674,-300,1.585,1.642,0.41,0.41,-300,1.52,1.38,-300,-300,-300,4.34066,4.34066,8.29803,8.29803,0.82,0.82,2.04,2.04,1.54,1.54,0.48,0.48,-300,-300,759,759,-300,-300,83.3,83.3,-300,-300,0.89,0.89,-300,-300,59.6,59.6,-300,-300,63.38,63.38,-300,-300,0.757,0.757,-300,-300,1.024,1.024,0.674,-149.2075,-300,-0.344548517282598
B2KTaO6,O,O,13,39.0983,39.0983,10.811,10.811,0.91,0.91,2.01,2.01,0.674,0.674,-300,1.585,1.642,0.41,0.41,-300,1.52,1.38,-300,-300,-300,4.34066,4.34066,8.29803,8.29803,0.82,0.82,2.04,2.04,1.54,1.54,0.48,0.48,-300,-300,759,759,-300,-300,83.3,83.3,-300,-300,0.89,0.89,-300,-300,59.6,59.6,-300,-300,63.38,63.38,-300,-300,0.757,0.757,-300,-300,1.024,1.024,0.674,-149.2075,-300,-0.344548517282598
B2MgSnO6,O,O,2,24.305,118.71,10.811,10.811,1.23,1.72,2.01,2.01,0.674,0.674,0.845,0.889,0.947,0.41,0.41,0.83,0.86,0.72,0.69,-300,-300,7.64624,7.3439,8.29803,8.29803,1.31,1.96,2.04,2.04,0.9,0.88,0.48,0.48,-300,-300,1090,2602,-300,-300,24.8,22,-300,-300,1.74,7.26,-300,-300,348.9,60.4,-300,-300,650,231.93,-300,-300,1.024,0.227,-300,-300,1.56,0.666,0.674,0.867,0.641400662376242,36.0207784486613
B2MnSnO6,O,O,2,54.938049,118.71,10.811,10.811,1.6,1.72,2.01,2.01,0.674,0.674,0.845,0.986,1.044,0.41,0.41,0.83,0.81,0.83,0.69,-300,-300,7.43402,7.3439,8.29803,8.29803,1.55,1.96,2.04,2.04,0.99,0.88,0.48,0.48,-300,-300,2061,2602,-300,-300,21.7,22,-300,-300,7.3,7.26,-300,-300,235,60.4,-300,-300,1246,231.93,-300,-300,0.479,0.227,-300,-300,0.0782,0.666,0.674,0.9155,0.626765079160412,35.158087509424
B2RbNbO6,O,O,12,85.4678,92.90638,10.811,10.811,0.89,1.23,2.01,2.01,0.674,0.674,0.768,1.716,1.773,0.41,0.41,0.78,1.66,1.52,0.64,-300,-300,4.17713,6.75885,8.29803,8.29803,0.82,1.6,2.04,2.04,1.67,1.23,0.48,0.48,-300,-300,688,4744,-300,-300,-300,7.3,-300,-300,1.53,8.57,-300,-300,25.6,323,-300,-300,39.3,2477,-300,-300,0.364,0.265,-300,-300,0.582,0.537,0.674,1.242,0.543307167926368,18.8879464077837
B2SrSnO6,O,O,2,87.62,118.71,10.811,10.811,0.99,1.72,2.01,2.01,0.674,0.674,0.845,1.314,1.372,0.41,0.41,0.83,1.32,1.18,0.69,-300,-300,5.6949,7.3439,8.29803,8.29803,0.95,1.96,2.04,2.04,1.42,0.88,0.48,0.48,-300,-300,1382,2602,-300,-300,22.5,22,-300,-300,2.64,7.26,-300,-300,84.8,60.4,-300,-300,777,231.93,-300,-300,0.306,0.227,-300,-300,0.353,0.666,0.674,1.0795,0.581869043789236,32.5241234044786
B2TiNbO6,O,O,13,47.867,92.90638,10.811,10.811,1.32,1.23,2.01,2.01,0.674,0.674,0.768,-300,0,0.41,0.41,0.78,-300,-300,0.64,-300,-300,6.8281,6.75885,8.29803,8.29803,1.54,1.6,2.04,2.04,1.15,1.23,0.48,0.48,-300,-300,3287,4744,-300,-300,8.6,7.3,-300,-300,4.51,8.57,-300,-300,295.6,323,-300,-300,1670,2477,-300,-300,0.522,0.265,-300,-300,0.219,0.537,0.674,-149.616,-300,30.2830483804773
B2YCrO6,O,O,2,88.90585,88.90585,10.811,10.811,1.11,1.11,2.01,2.01,0.674,0.674,1.065,1.065,1.123,0.41,0.41,1.04,1.04,0.9,0.9,-300,-300,6.2171,6.2171,8.29803,8.29803,1.22,1.22,2.04,2.04,1.32,1.32,0.48,0.48,-300,-300,3345,3345,-300,-300,10.6,10.6,-300,-300,4.47,4.47,-300,-300,128,128,-300,-300,1522,1522,-300,-300,0.298,0.298,-300,-300,0.172,0.172,0.674,1.065,0.585577659672728,37.0698293534819
Ba2BiIrO6,O,O,5,208.98038,192.217,137.327,137.327,1.67,1.55,0.97,0.97,1.738,1.738,0.773,1.14,1.198,1.49,1.49,0.71,1.17,1.03,0.57,1.35,1.35,7.2856,8.967,5.2117,5.2117,1.9,2.2,0.89,0.89,0.92,1.16,1.515,1.515,1897,1897,1564,4428,20.6,20.6,13.4,6.4,3.62,3.62,9.79,22.5,51.8,51.8,53.3,213.9,727,727,271.4,2446,0.205,0.205,0.122,0.131,0.184,0.184,0.0787,1.47,1.738,0.9565,0.962174378462009,64.4717292405007
Ba2BiRuO6,O,O,6,208.98038,101.07,137.327,137.327,1.67,1.42,0.97,0.97,1.738,1.738,0.757,1.14,1.198,1.49,1.49,0.705,1.17,1.03,0.57,1.35,1.35,7.2856,7.3605,5.2117,5.2117,1.9,2.2,0.89,0.89,0.92,1.145,1.515,1.515,1897,1897,1564,4150,20.6,20.6,13.4,6.4,3.62,3.62,9.79,12.1,51.8,51.8,53.3,381.8,727,727,271.4,2333,0.205,0.205,0.122,0.238,0.184,0.184,0.0787,1.17,1.738,0.9485,0.965740463719223,64.6901827017733
Ba2BiSbO6,O,O,5,208.98038,121.76,137.327,137.327,1.67,1.82,0.97,0.97,1.738,1.738,0.799,1.14,1.198,1.49,1.49,0.74,1.17,1.03,0.6,1.35,1.35,7.2856,8.6084,5.2117,5.2117,1.9,2.05,0.89,0.89,0.92,0.83,1.515,1.515,1897,1897,1564,1587,20.6,20.6,13.4,11,3.62,3.62,9.79,6.68,51.8,51.8,53.3,162.5,727,727,271.4,630.63,0.205,0.205,0.122,0.207,0.184,0.184,0.0787,0.243,1.738,0.9695,0.956435325046085,64.1198719417936
Ba2BiTaO6,O,O,5,208.98038,180.9479,137.327,137.327,1.67,1.33,0.97,0.97,1.738,1.738,0.777,1.14,1.198,1.49,1.49,0.78,1.17,1.03,0.64,1.35,1.35,7.2856,7.5496,5.2117,5.2117,1.9,1.5,0.89,0.89,0.92,1.28,1.515,1.515,1897,1897,1564,5458,20.6,20.6,13.4,6.3,3.62,3.62,9.79,16.4,51.8,51.8,53.3,202.1,727,727,271.4,3007,0.205,0.205,0.122,0.14,0.184,0.184,0.0787,0.575,1.738,0.9585,0.961286968382726,64.417346211816
Ba2CaMoO6,O,O,3,40.078,95.94,137.327,137.327,1.04,1.3,0.97,0.97,1.738,1.738,0.7,1.163,1.221,1.49,1.49,0.73,1.14,1,0.59,1.35,1.35,6.11316,7.09243,5.2117,5.2117,1,2.16,0.89,0.89,1.32,1.22,1.515,1.515,1897,1897,1484,4639,20.6,20.6,22.3,4.8,3.62,3.62,1.54,10.2,51.8,51.8,213.1,390.7,727,727,842,2622,0.205,0.205,0.646,0.251,0.184,0.184,2,1.38,1.738,0.9315,0.97340686011578,52.0906456212713
Ba2CaOsO6,O,O,3,40.078,190.23,137.327,137.327,1.04,1.52,0.97,0.97,1.738,1.738,0.82,1.163,1.221,1.49,1.49,0.685,1.14,1,0.55,1.35,1.35,6.11316,8.4382,5.2117,5.2117,1,2.2,0.89,0.89,1.32,1.17,1.515,1.515,1897,1897,1484,5012,20.6,20.6,22.3,5.1,3.62,3.62,1.54,22.59,51.8,51.8,213.1,304.1,727,727,842,3033,0.205,0.205,0.646,0.13,0.184,0.184,2,0.876,1.738,0.9915,0.946877488502358,50.7914549196903
Ba2CaReO6,O,O,3,40.078,186.207,137.327,137.327,1.04,1.46,0.97,0.97,1.738,1.738,0.65,1.163,1.221,1.49,1.49,0.69,1.14,1,0.55,1.35,1.35,6.11316,7.8335,5.2117,5.2117,1,1.9,0.89,0.89,1.32,1.19,1.515,1.515,1897,1897,1484,5596,20.6,20.6,22.3,6.2,3.62,3.62,1.54,20.8,51.8,51.8,213.1,324.5,727,727,842,3186,0.205,0.205,0.646,0.137,0.184,0.184,2,0.479,1.738,0.9065,0.984904696875947,52.6518024493228
Ba2CaTeO6,O,O,3,40.078,127.6,137.327,137.327,1.04,2.01,0.97,0.97,1.738,1.738,0.71,1.163,1.221,1.49,1.49,0.7,1.14,1,0.56,1.35,1.35,6.11316,9.0096,5.2117,5.2117,1,2.1,0.89,0.89,1.32,0.79,1.515,1.515,1897,1897,1484,-300,20.6,20.6,22.3,-300,3.62,3.62,1.54,-300,51.8,51.8,213.1,-300,727,727,842,-300,0.205,0.205,0.646,-300,0.184,0.184,2,-300,1.738,0.9365,0.971139432069854,51.9798465812642
Ba2CaUO6,O,O,5,40.078,238.02891,137.327,137.327,1.04,-300,0.97,0.97,1.738,1.738,0.84,1.163,1.221,1.49,1.49,0.87,1.14,1,0.73,1.35,1.35,6.11316,6.19405,5.2117,5.2117,1,1.7,0.89,0.89,1.32,-300,1.515,1.515,1897,1897,1484,4131,20.6,20.6,22.3,13.9,3.62,3.62,1.54,19.1,51.8,51.8,213.1,38.4,727,727,842,1135,0.205,0.205,0.646,0.116,0.184,0.184,2,0.276,1.738,1.0015,0.942595881048131,50.5811976496389
Ba2CaWO6,O,O,5,40.078,183.84,137.327,137.327,1.04,1.4,0.97,0.97,1.738,1.738,0.71,1.163,1.221,1.49,1.49,0.74,1.14,1,0.6,1.35,1.35,6.11316,7.864,5.2117,5.2117,1,1.7,0.89,0.89,1.32,1.22,1.515,1.515,1897,1897,1484,5555,20.6,20.6,22.3,4.5,3.62,3.62,1.54,19.3,51.8,51.8,213.1,284.5,727,727,842,3414,0.205,0.205,0.646,0.132,0.184,0.184,2,1.74,1.738,0.9365,0.971139432069854,51.9798465812642
Ba2CdOsO6,O,O,3,112.411,190.23,137.327,137.327,1.46,1.52,0.97,0.97,1.738,1.738,0.82,1.1,1.158,1.49,1.49,0.685,1.09,0.95,0.55,1.35,1.35,8.9938,8.4382,5.2117,5.2117,1.69,2.2,0.89,0.89,0.985,1.17,1.515,1.515,1897,1897,767,5012,20.6,20.6,30.8,5.1,3.62,3.62,8.69,22.59,51.8,51.8,55.2,304.1,727,727,321.07,3033,0.205,0.205,0.231,0.13,0.184,0.184,0.968,0.876,1.738,0.96,0.960622484303199,51.5639419924439
Ba2CdReO6,O,O,3,112.411,186.207,137.327,137.327,1.46,1.46,0.97,0.97,1.738,1.738,0.65,1.1,1.158,1.49,1.49,0.69,1.09,0.95,0.55,1.35,1.35,8.9938,7.8335,5.2117,5.2117,1.69,1.9,0.89,0.89,0.985,1.19,1.515,1.515,1897,1897,767,5596,20.6,20.6,30.8,6.2,3.62,3.62,8.69,20.8,51.8,51.8,55.2,324.5,727,727,321.07,3186,0.205,0.205,0.231,0.137,0.184,0.184,0.968,0.479,1.738,0.875,0.999784552008605,53.4823765729281
Ba2CdUO6,O,O,3,112.411,238.02891,137.327,137.327,1.46,-300,0.97,0.97,1.738,1.738,0.84,1.1,1.158,1.49,1.49,0.87,1.09,0.95,0.73,1.35,1.35,8.9938,6.19405,5.2117,5.2117,1.69,1.7,0.89,0.89,0.985,-300,1.515,1.515,1897,1897,767,4131,20.6,20.6,30.8,13.9,3.62,3.62,8.69,19.1,51.8,51.8,55.2,38.4,727,727,321.07,1135,0.205,0.205,0.231,0.116,0.184,0.184,0.968,0.276,1.738,0.97,0.956215959145845,51.3472541253061
Ba2CeNbO6,O,O,5,140.116,92.90638,137.327,137.327,-300,1.23,0.97,0.97,1.738,1.738,0.768,1.197,1.255,1.49,1.49,0.78,1.15,1.01,0.64,1.35,1.35,5.5387,6.75885,5.2117,5.2117,1.12,1.6,0.89,0.89,-300,1.23,1.515,1.515,1897,1897,3443,4744,20.6,20.6,6.3,7.3,3.62,3.62,6.77,8.57,51.8,51.8,39,323,727,727,798,2477,0.205,0.205,0.192,0.265,0.184,0.184,0.113,0.537,1.738,0.9825,0.950764328820042,63.6626519971309
Ba2CePtO6,O,O,3,140.116,195.078,137.327,137.327,-300,1.44,0.97,0.97,1.738,1.738,0.819,0.968,1.025,1.49,1.49,0.765,1.01,0.87,0.63,1.35,1.35,5.5387,8.9587,5.2117,5.2117,1.12,2.2,0.89,0.89,-300,1.24,1.515,1.515,1897,1897,3443,3825,20.6,20.6,6.3,8.8,3.62,3.62,6.77,21.5,51.8,51.8,39,113.6,727,727,798,1768.2,0.205,0.205,0.192,0.133,0.184,0.184,0.113,0.716,1.738,0.8935,0.990991581144731,71.0481185892606
Ba2CeTaO6,O,O,5,140.116,180.9479,137.327,137.327,-300,1.33,0.97,0.97,1.738,1.738,0.777,1.197,1.255,1.49,1.49,0.78,1.15,1.01,0.64,1.35,1.35,5.5387,7.5496,5.2117,5.2117,1.12,1.5,0.89,0.89,-300,1.28,1.515,1.515,1897,1897,3443,5458,20.6,20.6,6.3,6.3,3.62,3.62,6.77,16.4,51.8,51.8,39,202.1,727,727,798,3007,0.205,0.205,0.192,0.14,0.184,0.184,0.113,0.575,1.738,0.987,0.948816928055504,63.5434648626146
Ba2CoIrO6,O,O,6,58.9332,192.217,137.327,137.327,1.7,1.55,0.97,0.97,1.738,1.738,0.773,0.683,0.741,1.49,1.49,0.71,0.75,0.55,0.57,1.35,1.35,7.881,8.967,5.2117,5.2117,1.88,2.2,0.89,0.89,0.92,1.16,1.515,1.515,1897,1897,2927,4428,20.6,20.6,13,6.4,3.62,3.62,8.86,22.5,51.8,51.8,272.5,213.9,727,727,1495,2446,0.205,0.205,0.421,0.131,0.184,0.184,1,1.47,1.738,0.728,1.07561960316715,72.4689975360237
Ba2CoMoO6,O,O,3,58.9332,95.94,137.327,137.327,1.7,1.3,0.97,0.97,1.738,1.738,0.7,0.888,0.946,1.49,1.49,0.73,0.79,0.65,0.59,1.35,1.35,7.881,7.09243,5.2117,5.2117,1.88,2.16,0.89,0.89,0.92,1.22,1.515,1.515,1897,1897,2927,4639,20.6,20.6,13,4.8,3.62,3.62,8.86,10.2,51.8,51.8,272.5,390.7,727,727,1495,2622,0.205,0.205,0.421,0.251,0.184,0.184,1,1.38,1.738,0.794,1.04019500545805,55.8353319291262
Ba2CoReO6,O,O,3,58.9332,186.207,137.327,137.327,1.7,1.46,0.97,0.97,1.738,1.738,0.65,0.888,0.946,1.49,1.49,0.69,0.79,0.65,0.55,1.35,1.35,7.881,7.8335,5.2117,5.2117,1.88,1.9,0.89,0.89,0.92,1.19,1.515,1.515,1897,1897,2927,5596,20.6,20.6,13,6.2,3.62,3.62,8.86,20.8,51.8,51.8,272.5,324.5,727,727,1495,3186,0.205,0.205,0.421,0.137,0.184,0.184,1,0.479,1.738,0.769,1.05333541735116,56.4805691846923
Ba2CoSbO6,O,O,3,58.9332,121.76,137.327,137.327,1.7,1.82,0.97,0.97,1.738,1.738,0.799,0.683,0.741,1.49,1.49,0.74,0.75,0.55,0.6,1.35,1.35,7.881,8.6084,5.2117,5.2117,1.88,2.05,0.89,0.89,0.92,0.83,1.515,1.515,1897,1897,2927,1587,20.6,20.6,13,11,3.62,3.62,8.86,6.68,51.8,51.8,272.5,162.5,727,727,1495,630.63,0.205,0.205,0.421,0.207,0.184,0.184,1,0.243,1.738,0.741,1.06845248125984,72.0247361890984
Ba2CoTeO6,O,O,6,58.9332,127.6,137.327,137.327,1.7,2.01,0.97,0.97,1.738,1.738,0.71,0.888,0.946,1.49,1.49,0.7,0.79,0.65,0.56,1.35,1.35,7.881,9.0096,5.2117,5.2117,1.88,2.1,0.89,0.89,0.92,0.79,1.515,1.515,1897,1897,2927,-300,20.6,20.6,13,-300,3.62,3.62,8.86,-300,51.8,51.8,272.5,-300,727,727,1495,-300,0.205,0.205,0.421,-300,0.184,0.184,1,-300,1.738,0.799,1.03760616771426,55.7080495397422
Ba2CoUO6,O,O,3,58.9332,238.02891,137.327,137.327,1.7,-300,0.97,0.97,1.738,1.738,0.84,0.888,0.946,1.49,1.49,0.87,0.79,0.65,0.73,1.35,1.35,7.881,6.19405,5.2117,5.2117,1.88,1.7,0.89,0.89,0.92,-300,1.515,1.515,1897,1897,2927,4131,20.6,20.6,13,13.9,3.62,3.62,8.86,19.1,51.8,51.8,272.5,38.4,727,727,1495,1135,0.205,0.205,0.421,0.116,0.184,0.184,1,0.276,1.738,0.864,1.00508717017259,54.1046664696868
